merge_id,stratum,num_intersecting_csv,status,split,files_materialized,files_scored,files_dropped,dropped_reasons,truncation_level,unit_tokens,over_30k
lukas-krecan_jsonunit__3cb3260c4b,B,5,scored,derivation,4,3,1,conflict,T2,13344,0
frankbille_scoreboard__890ecd0bdb,A,2,scored,heldout,1,1,0,,T0,2508,0
dius_java-faker__4c61966b1c,A,2,scored,derivation,1,1,0,,T0,8062,0
dius_java-faker__9f0019116a,B,5,scored,derivation,3,3,0,,T3,26213,0
jenkinsci_email-ext-plugin__bbf162f5d5,B,4,scored,heldout,1,1,0,,T0,20936,0
jenkinsci_email-ext-plugin__4def0e56a8,A,2,scored,derivation,1,1,0,,T0,7310,0
driesschulten_dozer-model__c7260c73f5,B,4,scored,heldout,3,3,0,,T0,14547,0
xebia_xebium__2808ba14a8,A,2,scored,derivation,1,1,0,,T0,10349,0
xebia_xebium__a82603c978,A,2,scored,derivation,1,1,0,,T0,10376,0
apache_commons-lang__53184369d0,A,2,scored,derivation,1,1,0,,T0,18069,0
jenkinsci_build-timeout-plugin__daeab4a1ee,B,5,scored,derivation,4,4,0,,T3/cap2,25270,0
buddycloud_buddycloud-server-java__48e4675ee2,A,3,scored,derivation,2,2,0,,T0,15128,0
buddycloud_buddycloud-server-java__43c8b054e9,A,3,scored,derivation,2,2,0,,T0,17721,0
buddycloud_buddycloud-server-java__33ec3ec7cd,A,3,scored,heldout,2,2,0,,T0,14415,0
mtedone_podam__8d5f7e40f6,B,16,scored,derivation,14,14,0,,T2,26876,0
sbtourist_journal.io__f13d15914f,B,4,scored,heldout,3,3,0,,T2,21605,0
sonarcommunity_sonar-php__b155c33852,B,4,scored,heldout,2,2,0,,T0,6642,0
jenkinsci_mailer-plugin__6703bb66ee,A,3,materialization_loss,,,,,,,,
kohsuke_github-api__4e56b8bb78,A,3,scored,derivation,2,2,0,,T0,18083,0
nysenate_openlegislation__9c7cf034c1,A,3,scored,derivation,1,1,0,,T0,7643,0
nysenate_openlegislation__b8da5f2051,B,4,scored,heldout,2,2,0,,T0,14054,0
gitools_gitools__02221bf3d8,B,4,scored,derivation,3,3,0,,T0,18508,0
jboss-remoting_jboss-remoting__66a0631d13,A,2,scored,derivation,1,1,0,,T0,5469,0
jline_jline2__348cb9dada,A,3,scored,derivation,2,2,0,,T2,12581,0
jline_jline2__5acfe59453,B,5,scored,derivation,4,4,0,,T2,18443,0
jline_jline2__5869eaa93a,A,2,dropped_divergence,,1,0,1,conflict,,,
samskivert_jmustache__940af397c4,A,2,scored,heldout,1,1,0,,T0,16933,0
mpatric_mp3agic__9bf3bb134a,A,2,materialization_loss,,,,,,,,
jenkinsci_jira-plugin__6ad78581c9,A,3,scored,heldout,2,2,0,,T0,15830,0
jenkinsci_jira-plugin__0eec353cb5,A,2,scored,derivation,1,1,0,,T0,5552,0
skyscreamer_nevado__cdc23cde46,A,2,scored,heldout,1,1,0,,T0,2858,0
structr_structr__6738b144bb,B,4,scored,derivation,3,3,0,,T0,26248,0
movsim_movsim__6dae25caf7,A,3,scored,derivation,2,2,0,,T0,18418,0
movsim_movsim__00d5222b61,A,2,dropped_divergence,,1,0,1,conflict,,,
apache_shiro__13806fc623,A,2,scored,heldout,1,1,0,,T0,7276,0
ardesco_selenium-standalone-server-plugin__957d978135,B,4,scored,derivation,2,2,0,,T0,14683,0
wordnik_swagger-codegen__dbadd9a831,B,12,scored,heldout,10,4,6,conflict,T2,12052,0
sailthru_sailthru-java-client__ee1f917600,A,2,scored,derivation,1,1,0,,T0,2413,0
okleine_ncoap__99de16a6d2,A,2,scored,heldout,1,1,0,,T0,9071,0
apache_roller__1628c3a3c4,B,13,scored,heldout,12,12,0,,T2,18531,0
jakewharton_disklrucache__7f28919d2a,B,4,scored,derivation,2,2,0,,T0,27028,0
urbanairship_datacube__641b92c0fc,B,4,scored,heldout,2,2,0,,T0,12098,0
urbanairship_datacube__b8bef94f4d,A,3,scored,derivation,2,2,0,,T0,20484,0
monitorjbl_excel-streaming-reader__8698befdf4,A,3,scored,heldout,2,1,1,conflict,T0,12851,0
monitorjbl_excel-streaming-reader__5c0538482f,B,8,scored,derivation,7,6,1,conflict,T2,16877,0
ninjaframework_ninja__31737c1a10,A,3,scored,heldout,2,2,0,,T2,14968,0
ninjaframework_ninja__45bb542cb4,A,3,scored,heldout,2,2,0,,T0,5752,0
ninjaframework_ninja__663883c228,A,3,scored,derivation,2,2,0,,T0,8656,0
ninjaframework_ninja__94b2365be3,A,3,scored,derivation,2,2,0,,T0,10374,0
thenewcircle_spring-hibernate-20120924__7ec9c1b4bb,A,2,scored,derivation,1,1,0,,T0,6735,0
k3po_k3po__084cc0b426,A,2,scored,heldout,1,1,0,,T0,3433,0
jboss-msc_jboss-msc__a4e21a3b10,A,2,scored,derivation,1,1,0,,T0,8866,0
jboss-msc_jboss-msc__1d9b8d45ff,A,2,scored,derivation,1,1,0,,T0,8504,0
tridentsdk_tridentsdk__004679e5bb,A,3,scored,heldout,1,1,0,,T0,12336,0
apache_opennlp__8240a2c660,B,10,scored,derivation,9,9,0,,T3/cap8,27154,0
apache_opennlp__1f7ecee315,A,2,materialization_loss,,,,,,,,
cloudfoundry_cf-java-client__b0add1ef2a,A,2,scored,derivation,1,1,0,,T2,17232,0
cloudfoundry_cf-java-client__80d0a0dff9,A,2,scored,derivation,1,1,0,,T0,17650,0
cloudfoundry_cf-java-client__9f6b79e294,A,2,scored,heldout,1,1,0,,T2,25726,0
cloudfoundry_cf-java-client__a9d35d542d,A,3,scored,derivation,2,2,0,,T2,16083,0
cloudfoundry_cf-java-client__933add90ad,A,2,scored,heldout,1,1,0,,T0,24593,0
cloudfoundry_cf-java-client__eb3b2f5beb,A,2,scored,derivation,1,1,0,,T0,7568,0
cloudfoundry_cf-java-client__a69078adc8,A,3,scored,derivation,2,2,0,,T0,19642,0
cloudfoundry_cf-java-client__be097d5860,A,3,scored,derivation,2,2,0,,T0,14049,0
qcadoo_mes__c6cb8180e5,B,4,scored,derivation,2,2,0,,T0,28372,0
